SIZE,femur_ML_mm,femur_AP_mm,tibia_ML_mm,tibia_AP_mm,patella_d_mm,insert_thin_mm,insert_thick_mm,femur_distal_cut_m,femur_origin_z_m,tibia_proximal_cut_m,tibia_origin_z_m
S1,62,52,58,36,30,8,10,0.006975,0,0.016275,0
S2,64,54,62,38,32,8,10,0.0072,0,0.0168,0
S3,66,56,66,40,34,9,11,0.007425,0,0.017325,0
S4,68,58,70,42,36,9,11,0.00765,0,0.01785,0
M1,70,60,72,44,37,10,12,0.007875,0,0.018375,0
M2,72,62,74,46,39,10,12,0.0081,0,0.0189,0
M3,74,64,76,48,41,11,13,0.008325,0,0.019425,0
M4,76,66,78,50,43,11,13,0.00855,0,0.01995,0
L1,78,68,82,52,44,12,14,0.008775,0,0.020475,0
L2,80,70,84,54,46,12,14,0.009,0,0.021,0
L3,82,72,86,56,48,13,15,0.009225,0,0.021525,0
L4,84,74,90,58,50,13,15,0.00945,0,0.02205,0
